script_path	language	severity	rule	sites	note
22_lm_meth_to_rna_apm.R	R	WARNING	relative-paths-only	22,25,30,33	4 CLI defaults are absolute paths
22_lm_meth_to_rna_apm.R	R	WARNING	forbidden-variable-names	NA,NA	collisions: results
22_lm_meth_to_rna_apm.R	R	OK	raw-data-write		compliance check passed: raw-data-write
22_lm_meth_to_rna_apm.R	R	OK	header-preserved		compliance check passed: header-preserved
22_lm_meth_to_rna_apm.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
22_lm_meth_to_rna_apm.R	R	OK	logging-dual-capture		compliance check passed: logging-dual-capture
23_lm_meth_to_rna_apm_full_vs_cgi.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
23_lm_meth_to_rna_apm_full_vs_cgi.R	R	WARNING	relative-paths-only	24,26,28,31,33	5 CLI defaults are absolute paths
23_lm_meth_to_rna_apm_full_vs_cgi.R	R	WARNING	forbidden-variable-names	NA	collisions: results
23_lm_meth_to_rna_apm_full_vs_cgi.R	R	OK	raw-data-write		compliance check passed: raw-data-write
23_lm_meth_to_rna_apm_full_vs_cgi.R	R	OK	header-preserved		compliance check passed: header-preserved
23_lm_meth_to_rna_apm_full_vs_cgi.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
23_lm_meth_to_rna_apm_full_vs_cgi.R	R	NOTE	logging-dual-capture		partial: need both sink(split=TRUE) and globalCallingHandlers(message=…)
24_elasticnet_meth_to_rna_apm.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
24_elasticnet_meth_to_rna_apm.R	R	WARNING	relative-paths-only	32,34,36,38,45,47	6 CLI defaults are absolute paths
24_elasticnet_meth_to_rna_apm.R	R	WARNING	forbidden-variable-names	NA	collisions: results
24_elasticnet_meth_to_rna_apm.R	R	OK	raw-data-write		compliance check passed: raw-data-write
24_elasticnet_meth_to_rna_apm.R	R	BLOCKER	header-preserved	81	1 read call(s) drop headers explicitly (header=FALSE / col.names=FALSE)
24_elasticnet_meth_to_rna_apm.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
24_elasticnet_meth_to_rna_apm.R	R	NOTE	logging-dual-capture		partial: need both sink(split=TRUE) and globalCallingHandlers(message=…)
25_nlrc5_lasso_cpgs.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
25_nlrc5_lasso_cpgs.R	R	WARNING	relative-paths-only	24,26,28,34,36	5 CLI defaults are absolute paths
25_nlrc5_lasso_cpgs.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
25_nlrc5_lasso_cpgs.R	R	OK	raw-data-write		compliance check passed: raw-data-write
25_nlrc5_lasso_cpgs.R	R	BLOCKER	header-preserved	63	1 read call(s) drop headers explicitly (header=FALSE / col.names=FALSE)
25_nlrc5_lasso_cpgs.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
25_nlrc5_lasso_cpgs.R	R	NOTE	logging-dual-capture		partial: need both sink(split=TRUE) and globalCallingHandlers(message=…)
26_elasticnet_genomewide.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
26_elasticnet_genomewide.R	R	WARNING	relative-paths-only	26,28,30,40,42	5 CLI defaults are absolute paths
26_elasticnet_genomewide.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
26_elasticnet_genomewide.R	R	OK	seed-coverage		compliance check passed: seed-coverage
26_elasticnet_genomewide.R	R	OK	raw-data-write		compliance check passed: raw-data-write
26_elasticnet_genomewide.R	R	BLOCKER	header-preserved	116	1 read call(s) drop headers explicitly (header=FALSE / col.names=FALSE)
26_elasticnet_genomewide.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
26_elasticnet_genomewide.R	R	NOTE	logging-dual-capture		partial: need both sink(split=TRUE) and globalCallingHandlers(message=…)
26_elasticnet_genomewide.R	R	NOTE	pair-binding-coverage		10 analysis CLI option(s) not bound by launcher (will use defaults): --cpg_dir, --sample_sheet, --tpm, --definition, --min_cov_frac, --min_cpgs, --seed, --permute_y_seed, --outdir, --log_dir
27_elasticnet_seed_stability.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
27_elasticnet_seed_stability.R	R	WARNING	relative-paths-only	26,28,30,32,41,43	6 CLI defaults are absolute paths
27_elasticnet_seed_stability.R	R	WARNING	forbidden-variable-names	NA	collisions: results
27_elasticnet_seed_stability.R	R	OK	raw-data-write		compliance check passed: raw-data-write
27_elasticnet_seed_stability.R	R	BLOCKER	header-preserved	83	1 read call(s) drop headers explicitly (header=FALSE / col.names=FALSE)
27_elasticnet_seed_stability.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
27_elasticnet_seed_stability.R	R	NOTE	logging-dual-capture		partial: need both sink(split=TRUE) and globalCallingHandlers(message=…)
27_elasticnet_seed_stability.R	R	NOTE	pair-binding-coverage		11 analysis CLI option(s) not bound by launcher (will use defaults): --cpg_dir, --summary, --sample_sheet, --tpm, --top_n, --seeds, --min_cov_frac, --definition, --include_genes, --outdir, --log_dir
29_fdr_genomewide.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
29_fdr_genomewide.R	R	WARNING	relative-paths-only	29,31,35,38,40,42	6 CLI defaults are absolute paths
29_fdr_genomewide.R	R	WARNING	forbidden-variable-names	NA	collisions: results
29_fdr_genomewide.R	R	OK	raw-data-write		compliance check passed: raw-data-write
29_fdr_genomewide.R	R	BLOCKER	header-preserved	122	1 read call(s) drop headers explicitly (header=FALSE / col.names=FALSE)
29_fdr_genomewide.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
29_fdr_genomewide.R	R	NOTE	logging-dual-capture		partial: need both sink(split=TRUE) and globalCallingHandlers(message=…)
30_plotly_html.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
30_plotly_html.R	R	OK	relative-paths-only		compliance check passed: relative-paths-only
30_plotly_html.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
30_plotly_html.R	R	OK	raw-data-write		compliance check passed: raw-data-write
30_plotly_html.R	R	BLOCKER	header-preserved	396	1 read call(s) drop headers explicitly (header=FALSE / col.names=FALSE)
30_plotly_html.R	R	BLOCKER	hardcoded-contig	398	1 line(s) contain hardcoded contig literals (chrN / chrXY / chrMT)
30_plotly_html.R	R	NOTE	logging-dual-capture		partial: need both sink(split=TRUE) and globalCallingHandlers(message=…)
assoc_peptides_DNAme.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
assoc_peptides_DNAme.R	R	WARNING	relative-paths-only	14,18,22,26	4 CLI defaults are absolute paths
assoc_peptides_DNAme.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
assoc_peptides_DNAme.R	R	OK	raw-data-write		compliance check passed: raw-data-write
assoc_peptides_DNAme.R	R	OK	header-preserved		compliance check passed: header-preserved
assoc_peptides_DNAme.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
assoc_peptides_DNAme.R	R	NOTE	logging-dual-capture		no log-capture setup detected
assoc_peptides_DNAme.R	R	NOTE	pair-binding-coverage		7 analysis CLI option(s) not bound by launcher (will use defaults): --peptide_counts, --gtf, --bedmethyl_dir, --outdir, --min_coverage, --upstream, --downstream
plot_sample_overlap.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
plot_sample_overlap.R	R	OK	relative-paths-only		compliance check passed: relative-paths-only
plot_sample_overlap.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
plot_sample_overlap.R	R	OK	raw-data-write		compliance check passed: raw-data-write
plot_sample_overlap.R	R	OK	header-preserved		compliance check passed: header-preserved
plot_sample_overlap.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
plot_sample_overlap.R	R	NOTE	logging-dual-capture		no log-capture setup detected
plot_sample_overlap_v2.R	R	OK	script-header-metadata		compliance check passed: script-header-metadata
plot_sample_overlap_v2.R	R	OK	relative-paths-only		compliance check passed: relative-paths-only
plot_sample_overlap_v2.R	R	OK	forbidden-variable-names		compliance check passed: forbidden-variable-names
plot_sample_overlap_v2.R	R	OK	raw-data-write		compliance check passed: raw-data-write
plot_sample_overlap_v2.R	R	OK	header-preserved		compliance check passed: header-preserved
plot_sample_overlap_v2.R	R	OK	hardcoded-contig		compliance check passed: hardcoded-contig
plot_sample_overlap_v2.R	R	NOTE	logging-dual-capture		no log-capture setup detected
